Timestamp,Level,Message
2025-10-24 03:08:46,ERROR,FEL vid laddning av larm: Alarm.__init__() got an unexpected keyword argument 'alarm_id'
2025-10-24 03:08:46,INFO,AlarmManager initierad. Laddade alarms.
2025-10-24 03:08:46,SYSTEM,Program_starts
2025-10-24 03:08:46,UI,Menu_displayed_to_user
2025-10-24 03:08:52,INPUT,User_input:1
2025-10-24 03:08:52,INFO,Övervakningstråd startad.
2025-10-24 03:08:52,SYSTEM,Monitoring_mode_started
2025-10-24 03:08:53,DEBUG,"STATUS_CHECK: CPU 10.5%, RAM 68.7%, DISK 22.1%"
2025-10-24 03:08:58,DEBUG,"STATUS_CHECK: CPU 4.1%, RAM 68.1%, DISK 22.1%"
2025-10-24 03:09:04,DEBUG,"STATUS_CHECK: CPU 0.0%, RAM 68.5%, DISK 22.1%"
2025-10-24 03:09:09,DEBUG,"STATUS_CHECK: CPU 42.6%, RAM 70.7%, DISK 22.1%"
2025-10-24 03:09:15,DEBUG,"STATUS_CHECK: CPU 23.1%, RAM 78.1%, DISK 22.1%"
2025-10-24 03:09:20,DEBUG,"STATUS_CHECK: CPU 12.1%, RAM 78.2%, DISK 22.1%"
2025-10-24 03:09:26,DEBUG,"STATUS_CHECK: CPU 20.0%, RAM 78.6%, DISK 22.1%"
2025-10-24 03:09:31,DEBUG,"STATUS_CHECK: CPU 18.4%, RAM 79.6%, DISK 22.1%"
2025-10-24 03:09:37,DEBUG,"STATUS_CHECK: CPU 35.0%, RAM 77.8%, DISK 22.1%"
2025-10-24 03:09:42,DEBUG,"STATUS_CHECK: CPU 29.0%, RAM 77.1%, DISK 22.1%"
2025-10-24 03:09:48,DEBUG,"STATUS_CHECK: CPU 16.1%, RAM 75.0%, DISK 22.1%"
2025-10-24 03:09:53,DEBUG,"STATUS_CHECK: CPU 13.1%, RAM 76.5%, DISK 22.1%"
2025-10-24 03:09:59,DEBUG,"STATUS_CHECK: CPU 32.2%, RAM 76.9%, DISK 22.1%"
2025-10-24 03:10:04,DEBUG,"STATUS_CHECK: CPU 29.0%, RAM 77.0%, DISK 22.1%"
2025-10-24 03:10:10,DEBUG,"STATUS_CHECK: CPU 61.3%, RAM 76.1%, DISK 22.1%"
2025-10-24 03:10:15,DEBUG,"STATUS_CHECK: CPU 51.0%, RAM 71.8%, DISK 22.1%"
2025-10-24 03:10:21,DEBUG,"STATUS_CHECK: CPU 44.2%, RAM 73.3%, DISK 22.1%"
2025-10-24 03:10:26,DEBUG,"STATUS_CHECK: CPU 45.5%, RAM 75.1%, DISK 22.1%"
2025-10-24 03:10:32,DEBUG,"STATUS_CHECK: CPU 45.3%, RAM 73.4%, DISK 22.1%"
2025-10-24 03:10:37,DEBUG,"STATUS_CHECK: CPU 45.5%, RAM 74.7%, DISK 22.1%"
2025-10-24 03:10:43,DEBUG,"STATUS_CHECK: CPU 26.0%, RAM 70.2%, DISK 22.1%"
2025-10-24 03:10:48,DEBUG,"STATUS_CHECK: CPU 44.8%, RAM 71.8%, DISK 22.1%"
2025-10-24 03:10:54,DEBUG,"STATUS_CHECK: CPU 53.8%, RAM 71.9%, DISK 22.1%"
2025-10-24 03:10:59,DEBUG,"STATUS_CHECK: CPU 45.8%, RAM 72.7%, DISK 22.1%"
2025-10-24 03:11:05,DEBUG,"STATUS_CHECK: CPU 47.8%, RAM 73.0%, DISK 22.1%"
2025-10-24 03:11:10,DEBUG,"STATUS_CHECK: CPU 51.8%, RAM 73.4%, DISK 22.1%"
2025-10-24 03:11:16,DEBUG,"STATUS_CHECK: CPU 47.5%, RAM 73.2%, DISK 22.1%"
2025-10-24 03:11:19,INFO,Övervakningstråd stoppad säkert.
2025-10-24 03:11:19,SYSTEM,Program_terminated_via_KeyboardInterrupt
2025-10-24 03:12:38,ERROR,FEL vid laddning av larm: Alarm.__init__() got an unexpected keyword argument 'alarm_id'
2025-10-24 03:12:38,INFO,AlarmManager initierad. Laddade alarms.
2025-10-24 03:12:38,SYSTEM,Program_starts
